name,see_type,state_region,wikidata_id,notes
Birmingham,diocese,Alabama,Q867187,Birmingham in Alabama
Samoa–Pago Pago,diocese,American Samoa,Q875649,
Monterey,diocese,California,Q872544,Monterey in California
San Jose,diocese,California,Q875815,San José in California
Santa Rosa,diocese,California,Q876114,Santa Rosa in California
Pensacola–Tallahassee,diocese,Florida,Q874098,
St. Petersburg,diocese,Florida,Q875471,Saint Petersburg
Venice,diocese,Florida,Q877791,Venice in California
Joliet,diocese,Illinois,Q138892,Joliet in Illinois
Alexandria,diocese,Louisiana,Q866795,Alexandra in Louisiana
Houma–Thibodaux,diocese,Louisiana,Q869492,
Springfield–Cape Girardeau,diocese,Missouri,Q119608,
Portland,archdiocese,Oregon,Q45525,Portland in Oregon
Altoona–Johnstown,diocese,Pennsylvania,Q526146,
Arecibo,diocese,Puerto Rico,Q866897,
Caguas,diocese,Puerto Rico,Q867525,
Fajardo–Humacao,diocese,Puerto Rico,Q868791,
Mayagüez,diocese,Puerto Rico,Q872131,
Ponce,diocese,Puerto Rico,Q874329,
San Juan de Puerto Rico,archdiocese,Puerto Rico,Q1365485,
Victoria,diocese,Texas,Q877863,Victoria in Texas
Richmond,diocese,Virginia,Q874969,